Date;Hour;Down;Up;Total;max Rate;avg Rate;avg Rate values;95% Rate
2016-02-12 10:00;10;28.898;34.849;63.747;594;420;5;594
2016-02-12 11:00;11;47.024;55.672;102.696;1518;847;13;1518
2016-02-12 12:00;12;79.542;96.647;176.189;1186;605;28;1063
2016-02-12 13:00;13;82.439;105.662;188.101;1598;731;28;1506
2016-02-12 14:00;14;34.170;28.131;62.301;1117;693;4;1117
2016-02-12 15:00;15;47.073;104.639;151.712;6125;1472;15;6125
2016-02-12 16:00;16;53.929;60.902;114.831;1165;640;14;1165
2016-02-12 17:00;17;52.079;49.521;101.600;2165;752;12;2165
2016-02-12 18:00;18;48.897;56.502;105.399;1139;640;15;1139
2016-02-12 19:00;19;37.916;42.820;80.736;1034;687;7;1034
2016-02-12 20:00;20;28.287;23.243;51.530;1340;721;3;1340
2016-02-12 21:00;21;359.393;1336.986;1696.379;2838;1713;160;2208
2016-02-12 22:00;22;31.539;23.273;54.812;416;333;2;416
2016-02-12 23:00;23;33.873;31.117;64.990;1138;667;5;1138
2016-02-13 00:00;0;226.001;322.684;548.685;6217;768;89;1667
2016-02-13 01:00;1;61.636;79.927;141.563;1590;983;16;1590
2016-02-13 02:00;2;24.549;19.050;43.599;764;764;1;764
